Time	Component	Volatility OIS	Volatility Spread
2	11	0.2727431655656178	0.27274316556561773
2	12	0.24360350982590287	0.24360350982590287
2	13	0.216066158806551	0.21606615880655095
2	14	0.19050770190776622	0.19050770190776617
2	15	0.16711555098225123	0.16711555098225123
2	16	0.1459441503005231	0.14594415030052307
2	17	0.12695702433805298	0.12695702433805298
2	18	0.11005795074158872	0.1100579507415887
2	19	0.0951138193869292	0.0951138193869292
2	20	0.08197116734187766	0.08197116734187766
2	21	0.07046793134692163	0.07046793134692161
2	22	0.0604416083328228	0.0604416083328228
2	23	0.051734740030648055	0.051734740030648055
2	24	0.04419842365104636	0.044198423651046356
2	25	0.03769438404237591	0.037694384042375906
2	26	0.03209601349117807	0.03209601349117807
2	27	0.02728868534629613	0.02728868534629613
2	28	0.023169570567195243	0.023169570567195243
2	29	0.01964712710036509	0.019647127100365088
2	30	0.01664038672417318	0.016640386724173176
2	31	0.01407812956599753	0.01407812956599753
2	32	0.011898010447998519	0.011898010447998519
2	33	0.010045681649663886	0.010045681649663886
2	34	0.00847394209318707	0.00847394209318707
2	35	0.00714193219712644	0.00714193219712644
2	36	0.006014385798361937	0.006014385798361937
2	37	0.005060944908827569	0.005060944908827569
2	38	0.004255539107747072	0.004255539107747071
2	39	0.003575828652607994	0.0035758286526079938
3	0	0.0	0.0
3	1	0.0	0.0
3	2	0.0	0.0
3	3	0.0	0.0
3	4	0.36842883888509176	0.36842883888509176
3	5	0.40219202762138356	0.40219202762138356
3	6	0.41160872707051976	0.41160872707051976
3	7	0.40439606770549935	0.4043960677054993
3	8	0.3862734132300145	0.3862734132300145
3	9	0.3614330542946426	0.3614330542946426
3	10	0.3329059013211687	0.3329059013211687
3	11	0.30284477699198303	0.30284477699198303
3	12	0.2727431655656178	0.2727431655656178
3	13	0.24360350982590281	0.24360350982590276
3	14	0.2160661588065511	0.21606615880655108
3	15	0.1905077019077661	0.1905077019077661
3	16	0.16711555098225123	0.16711555098225123
3	17	0.145944150300523	0.145944150300523
3	18	0.126957024338053	0.126957024338053
3	19	0.11005795074158868	0.11005795074158868
3	20	0.09511381938692928	0.09511381938692927
3	21	0.08197116734187768	0.08197116734187766
3	22	0.07046793134692163	0.07046793134692163
3	23	0.06044160833282276	0.06044160833282277
3	24	0.05173474003064806	0.05173474003064806
3	25	0.04419842365104636	0.04419842365104636
3	26	0.03769438404237589	0.03769438404237589
3	27	0.03209601349117807	0.03209601349117807
3	28	0.02728868534629614	0.027288685346296138
3	29	0.02316957056719524	0.023169570567195236
3	30	0.019647127100365095	0.019647127100365095
3	31	0.01664038672417318	0.01664038672417318
3	32	0.014078129565997527	0.014078129565997527
3	33	0.011898010447998526	0.011898010447998526
3	34	0.010045681649663891	0.010045681649663891
3	35	0.008473942093187066	0.008473942093187066
3	36	0.007141932197126442	0.007141932197126442
3	37	0.006014385798361938	0.006014385798361938
3	38	0.005060944908827565	0.005060944908827565
3	39	0.0042555391077470665	0.0042555391077470665
4	0	0.0	0.0
4	1	0.0	0.0
4	2	0.0	0.0
4	3	0.0	0.0
4	4	0.0	0.0
4	5	0.36842883888509176	0.36842883888509176
4	6	0.40219202762138356	0.40219202762138356
4	7	0.41160872707051976	0.4116087270705197
4	8	0.4043960677054994	0.4043960677054994
4	9	0.3862734132300147	0.3862734132300147
4	10	0.3614330542946424	0.3614330542946424
4	11	0.3329059013211687	0.33290590132116865
4	12	0.3028447769919831	0.3028447769919831
4	13	0.27274316556561773	0.2727431655656177
4	14	0.24360350982590295	0.24360350982590293
4	15	0.216066158806551	0.216066158806551
4	16	0.19050770190776617	0.19050770190776614
4	17	0.16711555098225112	0.16711555098225112
4	18	0.14594415030052302	0.145944150300523
4	19	0.12695702433805298	0.12695702433805298
4	20	0.11005795074158878	0.11005795074158876
4	21	0.09511381938692928	0.09511381938692927
4	22	0.08197116734187768	0.08197116734187768
4	23	0.07046793134692159	0.07046793134692159
4	24	0.06044160833282278	0.06044160833282278
4	25	0.051734740030648076	0.05173474003064807
4	26	0.04419842365104634	0.04419842365104634
4	27	0.03769438404237589	0.03769438404237589
4	28	0.032096013491178084	0.032096013491178084
4	29	0.027288685346296134	0.027288685346296134
4	30	0.023169570567195243	0.023169570567195243
4	31	0.019647127100365095	0.019647127100365095
4	32	0.016640386724173176	0.016640386724173176
4	33	0.014078129565997535	0.014078129565997534
4	34	0.011898010447998531	0.011898010447998531
4	35	0.010045681649663886	0.010045681649663886
4	36	0.008473942093187069	0.008473942093187069
4	37	0.007141932197126443	0.007141932197126443
4	38	0.0060143857983619336	0.006014385798361933
4	39	0.00506094490882756	0.00506094490882756
5	0	0.0	0.0
5	1	0.0	0.0
5	2	0.0	0.0
5	3	0.0	0.0
5	4	0.0	0.0
5	5	0.0	0.0
5	6	0.36842883888509176	0.36842883888509176
5	7	0.40219202762138356	0.4021920276213835
5	8	0.4116087270705198	0.4116087270705198
5	9	0.4043960677054996	0.4043960677054996
5	10	0.38627341323001446	0.38627341323001446
5	11	0.3614330542946424	0.3614330542946423
5	12	0.3329059013211687	0.3329059013211687
5	13	0.30284477699198303	0.302844776991983
5	14	0.27274316556561784	0.27274316556561784
5	15	0.24360350982590284	0.24360350982590284
5	16	0.21606615880655106	0.21606615880655103
5	17	0.19050770190776603	0.19050770190776603
5	18	0.16711555098225114	0.16711555098225114
5	19	0.145944150300523	0.14594415030052296
5	20	0.1269570243380531	0.12695702433805306
5	21	0.11005795074158879	0.11005795074158876
5	22	0.09511381938692928	0.09511381938692928
5	23	0.08197116734187763	0.08197116734187763
5	24	0.0704679313469216	0.0704679313469216
5	25	0.06044160833282279	0.060441608332822784
5	26	0.05173474003064804	0.05173474003064804
5	27	0.04419842365104634	0.04419842365104634
5	28	0.037694384042375906	0.0376943840423759
5	29	0.03209601349117808	0.03209601349117808
5	30	0.02728868534629614	0.027288685346296138
5	31	0.023169570567195243	0.023169570567195243
5	32	0.019647127100365095	0.019647127100365095
5	33	0.016640386724173187	0.016640386724173183
5	34	0.01407812956599754	0.01407812956599754
5	35	0.011898010447998526	0.011898010447998526
5	36	0.01004568164966389	0.01004568164966389
5	37	0.00847394209318707	0.00847394209318707
5	38	0.007141932197126438	0.007141932197126437
5	39	0.006014385798361927	0.006014385798361926
6	0	0.0	0.0
6	1	0.0	0.0
6	2	0.0	0.0
6	3	0.0	0.0
6	4	0.0	0.0
6	5	0.0	0.0
