i	j	k	mean1	mean2	variance1	variance2	correlation	probabilitySum	probabilitySimApprox	probabilityBlackApprox	probabilitySimLevy	probabilitySimJu	probabilitySimHo	probabilityBlackLevy	probabilityBlackJu	probabilityBlackHo	normalizedErrorSimApprox	normalizedErrorBlackApprox	normalizedErrorSimLevy	normalizedErrorSimJu	normalizedErrorSimHo	normalizedErrorBlackLevy	normalizedErrorBlackJu	normalizedErrorBlackHo
1	2	8	-2.2	-2.6	1.1	1.2	0.8	0.07197107200178353	0.07181386836786934	0.07181303934777272	0.07201186233541029	0.07200166586734047	0.0	0.07201093436539702	0.0720007378973272	0.0	0.0021866494990371447	0.002198193562939789	5.665995600733771E-4	4.249952596546692E-4	2.0	5.537131287340421E-4	4.1210700295361645E-4	2.0
1	3	8	-2.2	-2.6	1.6	1.7999999999999998	0.8	0.08579490704291755	0.08544925452487587	0.08547362970816091	0.08579727828363552	0.08576978209692863	0.0	0.08582183516425783	0.08579433897755094	0.0	0.004036955361013477	0.0037517379531720775	2.7638096845281044E-5	2.928918079224761E-4	2.0	3.138169504205246E-4	6.621223413262144E-6	2.0
1	4	8	-2.2	-2.6	2.1	2.4	0.8	0.09674467399607523	0.09637940968488767	0.09637783393793388	0.09689694278320606	0.09684808068227595	0.0	0.09689544014289876	0.09684657804196865	0.0	0.003782690426026422	0.003799039915810302	0.0015726865914819385	0.0010682908704153606	2.0	0.0015571788675494418	0.0010527753172793364	2.0
1	5	8	-2.2	-2.6	2.6	3.0	0.8	0.105915480082749	0.10541179904773337	0.10544900446728145	0.10610669280658841	0.10603732722078944	0.0	0.10614593252381314	0.10607656693801418	0.0	0.004766834050843264	0.004413945100196151	0.0018037049732455715	0.001149757246347303	2.0	0.0021734500230997547	0.0015197443255916623	2.0
1	6	8	-2.2	-2.6	3.1	3.5999999999999996	0.8	0.11370987996463318	0.11313327851226786	0.11318311753415317	0.11401281828828633	0.11392631935534259	0.0	0.11406316374674341	0.11397666481379967	0.0	0.005083701498751931	0.004643267410514337	0.0026605896204223876	0.0019016254124430455	2.0	0.003102068412958457	0.0023434397445497514	2.0
1	7	8	-2.2	-2.6	3.6	4.2	0.8	0.12052179289309094	0.11983682777947059	0.11988600681883455	0.12089836372923093	0.12079920275973559	0.0	0.12094846506473517	0.12084930409523982	0.0	0.005699526080684803	0.005289230008495882	0.003119630451811075	0.002299094331963916	2.0	0.003533952174919611	0.002713756586727675	2.0
1	8	8	-2.2	-2.6	4.1	4.8	0.8	0.12649330844265566	0.12562696616953162	0.12576344482531343	0.12686697534222982	0.12675984714014008	0.0	0.1270041381562866	0.12689700995419687	0.0	0.006872452240952502	0.00578667256980752	0.002949688041014512	0.0021049190630698777	2.0	0.0040302552983039145	0.003186400444147507	2.0
1	9	8	-2.2	-2.6	4.6	5.3999999999999995	0.8	0.13179199337287106	0.13126964677699102	0.13096247706656267	0.13269651068639032	0.13258580068569153	0.0	0.13237449175227464	0.13226378175157585	0.0	0.0039712866960190316	0.006314003372967202	0.006839747661142907	0.006005098239412909	2.0	0.004410085398438239	0.0035733994341342564	2.0
2	0	8	-3.4	-3.2	0.1	0.0	0.8	0.004193138049541684	0.004206202288621715	0.004206706812553751	0.004290710207313127	0.004175151489778658	0.0	0.004291226690761277	0.004175667973226807	0.0	0.003110777407285703	0.0032307175274858837	0.023001863026629817	0.004298742216915911	2.0	0.023122212262668505	0.004175046301072548	2.0
2	1	8	-3.4	-3.2	0.6	0.6	0.8	0.021295642806219636	0.02125727858529977	0.02126561290019598	0.02129102586990728	0.021289387474940406	0.0	0.021299381253860702	0.02129774285889383	0.0	0.0018031298282383313	0.0014111381595881631	2.1682542710576506E-4	2.9378075994922095E-4	2.0	1.7553447725692786E-4	9.860933294686987E-5	2.0
