Component1	Component2	Correlation
4	39	0.1467071448879677
4	40	0.6718344074821176
4	41	0.6757369561487425
4	42	0.6847557263116023
4	43	0.6949573169798442
4	44	0.7000000000000001
4	45	0.692856107228945
4	46	0.6698348437282303
4	47	0.6336823899471573
4	48	0.5917067134637582
4	49	0.5508241525297514
4	50	0.5144048300128368
4	51	0.48211116986922287
4	52	0.45147384065584556
4	53	0.42034943596204294
4	54	0.38907151085085173
4	55	0.36035769135303347
4	56	0.3370535211904626
4	57	0.3201087298199966
4	58	0.3080342539105714
4	59	0.29760325673347693
4	60	0.285772218908093
4	61	0.2719882791355148
4	62	0.2583530629631101
4	63	0.24722927477233456
4	64	0.23897305528187338
4	65	0.23138917072088974
4	66	0.22141573345779647
4	67	0.20871241170556398
4	68	0.1968090166438979
4	69	0.18943197856792354
4	70	0.18663838352115997
4	71	0.18384046108582733
4	72	0.17657207166895342
4	73	0.16805269932627573
4	74	0.16452927655022448
4	75	0.16323451791544588
4	76	0.15088082409759015
4	77	0.13524279701889605
4	78	0.13685420073365173
4	79	0.1026950014215774
5	0	0.910181825797834
5	1	0.9184386577921719
5	2	0.9387410202864094
5	3	0.9656167799641627
5	4	0.989794438898493
5	5	1.0
5	6	0.9884826213456648
5	7	0.9562393986475506
5	8	0.9115422269754895
5	9	0.8632477326941742
5	10	0.8158005529446686
5	11	0.7685008325404732
5	12	0.7178357314747953
5	13	0.6616034257225093
5	14	0.6023905091884662
5	15	0.5468738191401362
5	16	0.5015247737675629
5	17	0.46920015169758006
5	18	0.44847319567747584
5	19	0.43472342125738117
5	20	0.4226922422825081
5	21	0.4097992735064756
5	22	0.39700654425225274
5	23	0.38602195312449716
5	24	0.376074723974052
5	25	0.36302892636386297
5	26	0.3423671528763169
5	27	0.3152001694503386
5	28	0.2893844606488753
5	29	0.2727149028171624
5	30	0.2668812764136437
5	31	0.2659890134481523
5	32	0.26228737653253403
5	33	0.2570957422533102
5	34	0.2562664804625687
5	35	0.25269212627660714
5	36	0.2256525389573092
5	37	0.19303458417525715
5	38	0.1937372317681439
5	39	0.15773382732586103
5	40	0.6371272780584838
5	41	0.6429070604545204
5	42	0.6571187142004865
5	43	0.6759317459749138
5	44	0.6928561072289449
5	45	0.7
5	46	0.6919378349419651
5	47	0.6693675790532856
5	48	0.6380795588828425
5	49	0.604273412885922
5	50	0.5710603870612678
5	51	0.5379505827783312
5	52	0.5024850120323565
5	53	0.46312239800575655
5	54	0.42167335643192644
5	55	0.3828116733980953
5	56	0.3510673416372939
5	57	0.3284401061883061
5	58	0.31393123697423314
5	59	0.30430639488016675
5	60	0.2958845695977558
5	61	0.28685949145453293
5	62	0.2779045809765769
5	63	0.27021536718714817
5	64	0.26325230678183636
5	65	0.254120248454704
5	66	0.23965700701342182
5	67	0.22064011861523702
5	68	0.20256912245421274
5	69	0.19090043197201362
5	70	0.1868168934895505
5	71	0.18619230941370662
5	72	0.18360116357277384
5	73	0.17996701957731717
5	74	0.17938653632379808
5	75	0.17688448839362492
5	76	0.15795677727011645
5	77	0.13512420892268004
5	78	0.13561606223770073
5	79	0.11041367912810271
6	0	0.8377517560079593
6	1	0.848597782025792
6	2	0.8762063856511236
6	3	0.9153934773821373
6	4	0.9569069196117577
6	5	0.9884826213456648
6	6	1.0
6	7	0.9894078313207414
6	8	0.9625442822421054
6	9	0.9270065308591984
6	10	0.886745485320735
6	11	0.8407950384365048
6	12	0.7856000313841892
6	13	0.7196946077595666
6	14	0.6476054831281081
6	15	0.5786726312887054
6	16	0.521732800689298
6	17	0.4811731724551235
6	18	0.45634108047628236
6	19	0.44273619795161956
6	20	0.43440415310421654
6	21	0.4272328905905106
6	22	0.420346992544327
6	23	0.41389338622673033
6	24	0.4058780577114046
6	25	0.391198145949255
6	26	0.3651282225666108
6	27	0.33012316223361116
6	28	0.2965027515177872
6	29	0.27426494602925733
6	30	0.26656289775164005
6	31	0.2681578537675316
6	32	0.27018532488526964
6	33	0.27110689998136744
6	34	0.2740297731867941
6	35	0.269051672591437
6	36	0.23392424970827197
6	37	0.1923872495668445
6	38	0.19164362879673796
6	39	0.16693642569897388
6	40	0.5864262292055714
6	41	0.5940184474180542
6	42	0.6133444699557864
6	43	0.640775434167496
6	44	0.6698348437282304
6	45	0.6919378349419653
6	46	0.7000000000000001
6	47	0.692585481924519
6	48	0.6737809975694737
6	49	0.6489045716014388
6	50	0.6207218397245143
6	51	0.5885565269055533
6	52	0.5499200219689323
6	53	0.5037862254316965
6	54	0.4533238381896757
6	55	0.4050708419020938
6	56	0.3652129604825084
6	57	0.3368212207185864
